Fire,7750.63,1273.64,1293.4,10317.67,2136.58,992.11,0.94,3129.64,4800.55,1591.54,181.03,6573.13,94.04,190.35,11.24,295.63
Marine,1229.13,171.67,199.89,1600.69,347.6,3.82,–,351.42,362.24,48.85,106.63,517.72,10.51,97.98,–,108.49
Health (Including PA & Travel),7237.26,28.99,915.63,8181.88,484.38,0.07,–,484.44,98.67,9.18,–,107.85,–,0.18,–,0.18
Motor,7562.46,106.97,–,7669.43,1170.79,20.13,–,1190.93,1969.01,160.01,(0.05),2128.97,–,–,–,–
Crop,6686.44,164.1,62.82,6913.35,1020.28,136.4,–,1156.68,34.13,30.14,–,64.27,0.19,–,–,0.19
Miscellaneous,780.4,152.21,72.03,1004.64,198.32,78.97,–,277.29,62.73,2.97,1.27,66.97,0.45,–,–,0.45
Life,3748.74,0.49,782.49,4531.71,1447.36,–,25.76,1473.12,250.1,5.45,0.08,255.62,54.71,–,0,54.71
WC / EL,34.8,0.08,–,34.88,0.13,0.43,–,0.56,3.06,0.46,–,3.52,–,–,–,–
Aviation,27.03,22.06,51.58,100.68,18.44,6.02,1.79,26.24,615.77,19.76,111.59,747.12,289.73,118.67,53.66,462.06
Credit,163.17,(1.84),0.29,161.62,(3.92),–,–,(3.92),76.17,3.96,–,80.13,2.33,–,–,2.33
Liability,938.19,160.98,107.71,1206.87,255.62,21.2,0.04,276.86,307.12,55.75,44.13,407.01,17.42,0.52,3.49,21.43
Engineering,1195.8,191.13,184.96,1571.89,519.01,119.35,–,638.36,401.73,14.25,13.8,429.79,1.2,(1.52),–,(0.31)
TOTAL,37219.64,2269.7,3670.79,43295.3,7594.6,1378.49,28.53,9001.62,8981.3,1942.32,458.48,11382.1,470.57,406.18,68.4,945.15

Fire,7750.63,1273.64,1293.4,10317.67,2136.58,992.11,0.94,3129.64,4800.55,1591.54,181.03,6573.13,94.04,190.35,11.24,295.63
Marine,1229.13,171.67,199.89,1600.69,347.6,3.82,–,351.42,362.24,48.85,106.63,517.72,10.51,97.98,–,108.49
Health (Including PA & Travel),7237.26,28.99,915.63,8181.88,484.38,0.07,–,484.44,98.67,9.18,–,107.85,–,0.18,–,0.18
Motor,7562.46,106.97,–,7669.43,1170.79,20.13,–,1190.93,1969.01,160.01,(0.05),2128.97,–,–,–,–
Crop,6686.44,164.1,62.82,6913.35,1020.28,136.4,–,1156.68,34.13,30.14,–,64.27,0.19,–,–,0.19
Miscellaneous,780.4,152.21,72.03,1004.64,198.32,78.97,–,277.29,62.73,2.97,1.27,66.97,0.45,–,–,0.45
Life,3748.74,0.49,782.49,4531.71,1447.36,–,25.76,1473.12,250.1,5.45,0.08,255.62,54.71,–,0,54.71
WC / EL,34.8,0.08,–,34.88,0.13,0.43,–,0.56,3.06,0.46,–,3.52,–,–,–,–
Aviation,27.03,22.06,51.58,100.68,18.44,6.02,1.79,26.24,615.77,19.76,111.59,747.12,289.73,118.67,53.66,462.06
Credit,163.17,(1.84),0.29,161.62,(3.92),–,–,(3.92),76.17,3.96,–,80.13,2.33,–,–,2.33
Liability,938.19,160.98,107.71,1206.87,255.62,21.2,0.04,276.86,307.12,55.75,44.13,407.01,17.42,0.52,3.49,21.43
Engineering,1195.8,191.13,184.96,1571.89,519.01,119.35,–,638.36,401.73,14.25,13.8,429.79,1.2,(1.52),–,(0.31)
TOTAL,37219.64,2269.7,3670.79,43295.3,7594.6,1378.49,28.53,9001.62,8981.3,1942.32,458.48,11382.1,470.57,406.18,68.4,945.15

